BSE_Code,Company_Name,BSE_Verified,NSE_Code,Sector,Industry
539523,Alkem Laboratories Limited,539523,ALKEM,Healthcare,Healthcare
500469,Federal Bank Ltd.,500469,FEDERALBNK,Financial Services,Financial Services
540755,General Insurance Corporation of India,540755,GICRE,Financial Services,Financial Services
532466,Oracle Financial Services Software Limited,532466,OFSS,Information Technology,Information Technology
532648,Yes Bank Ltd.,532648,YESBANK,Financial Services,Financial Services
539437,IDFC FIRST BANK LIMITED,539437,IDFCFIRSTB,Financial Services,Financial Services
506395,Coromandel International Limited,506395,COROMANDEL,Commodities,Chemicals
542649,Rail Vikas Nigam Limited,542649,RVNL,Industrials,Construction
533274,Prestige Estates Projects Limited,533274,PRESTIGE,Consumer Discretionary,Realty
532508,Jindal Stainless Limited,532508,JSL,Commodities,Metals & Mining
532234,National Aluminium Co. Ltd.,532234,NATIONALUM,Commodities,Metals & Mining
542066,ADANI TOTAL GAS LIMITED,542066,ATGL,Energy,"Oil, Gas & Consumable Fuels"
500113,Steel Authority of India Ltd.,500113,SAIL,Commodities,Metals & Mining
503100,The Phoenix Mills Ltd.,503100,PHOENIXLTD,Consumer Discretionary,Realty
505790,Schaeffler India Limited,505790,SCHAEFFLER,Consumer Discretionary,Automobile and Auto Components
500290,M.R.F. Ltd.,500290,MRF,Consumer Discretionary,Automobile and Auto Components
512070,UPL Limited,512070,UPL,Commodities,Chemicals
534091,Multi Commodity Exchange of India Ltd,534091,MCX,Financial Services,Financial Services
544429,HDB FINANCIAL SERVICES LIMITED,544429,HDBFS,Financial Services,Financial Services
500488,Abbott India Ltd.,500488,ABBOTINDIA,Healthcare,Healthcare
533273,OBEROI REALTY LIMITED,533273,OBEROIRLTY,Consumer Discretionary,Realty
544307,Vishal Mega Mart Limited,544307,VMM,Consumer Discretionary,Consumer Services
500271,Max Financial Services Limited,500271,MFSL,Financial Services,Financial Services
532296,Glenmark Pharmaceuticals ltd,532296,GLENMARK,Healthcare,Healthcare
509480,Berger Paints India Ltd,509480,BERGEPAINT,Consumer Discretionary,Consumer Durables
500830,Colgate-Palmolive (India) Ltd.,500830,COLPAL,Fast Moving Consumer Goods,Fast Moving Consumer Goods
532523,Biocon Ltd.,532523,BIOCON,Healthcare,Healthcare
500368,Patanjali Foods Limited,500368,PATANJALI,Fast Moving Consumer Goods,Fast Moving Consumer Goods
540767,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,540767,NAM-INDIA,Financial Services,Financial Services
543994,JSW Infrastructure Limited,543994,JSWINFRA,Services,Services
533150,Godrej Properties Limited,533150,GODREJPROP,Consumer Discretionary,Realty
540222,Laurus Labs Limited,540222,LAURUSLABS,Healthcare,Healthcare
523457,Linde India Limited,523457,LINDEINDIA,Commodities,Chemicals
533758,APL Apollo Tubes Limited,533758,APLAPOLLO,Industrials,Capital Goods
540762,Tube Investments of India Ltd,540762,TIINDIA,Consumer Discretionary,Automobile and Auto Components
532541,COFORGE LIMITED,532541,COFORGE,Information Technology,Information Technology
541143,Bharat Dynamics Limited,541143,BDL,Industrials,Capital Goods
